chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.447237,0.218792,0.790268,0.153972,0.451308,0.056338,0.04573,0.059755,0.67534,0.150516,0.65058,0.155411,0.421999,0.087525,0.486623,0.080744,0.2243961697870516,0.040239,0.495646,0.068761
0.593237,0.114112,0.495522,0.196539,0.569905,0.099525,0.081595,0.0697,0.659024,0.152259,0.577758,0.194307,0.562073,0.140385,0.426245,0.307746,0.2243961697870516,0.039445,0.003643,0.141555
0.003643,0.002524,0.003643,0.01054,0.003643,0.020216,0.006555,0.006437,0.003643,0.002192,0.003643,0.004465,0.003643,0.000431,0.003643,0.004181,0.2243961697870516,0.035826,0.003643,0.002174
0.003643,0.012457,0.028628,0.048691,0.003643,0.230011,0.232643,0.032418,0.636044,0.100743,0.58464,0.085965,0.470095,0.076162,0.349419,0.065011,0.2243961697870516,0.038469,0.440904,0.062531
0.503875,0.086483,0.652256,0.093284,0.652777,0.155473,0.563909,0.061026,0.4911,0.107334,0.40206,0.103064,0.402606,0.069979,0.483144,0.169319,0.2243961697870516,0.110094,0.512224,0.097906
0.546047,0.068717,0.532548,0.299526,0.649443,0.238384,0.570892,0.083911,0.500264,0.067996,0.504193,0.10777,0.344337,0.06319,0.412066,0.055402,0.2243961697870516,0.041565,0.426426,0.057435
0.444564,0.186032,0.392525,0.013994,0.169284,0.036998,0.48662,0.124414,0.570652,0.125381,0.610364,0.139692,0.579882,0.136553,0.394733,0.452707,0.2243961697870516,0.036732,0.382086,0.201268
0.457623,0.100746,0.58722,0.204722,0.711325,0.15515,0.197264,0.059276,0.003643,0.007764,0.003643,0.001547,0.003643,0.067344,0.003643,0.00321,0.2243961697870516,0.041865,0.025554,0.124135
1.052648,0.137461,0.548431,0.134904,0.576152,0.083667,0.489639,0.105139,0.398085,0.08486,0.514792,0.07857,0.566575,0.21015,0.499762,0.118195,0.2243961697870516,0.03765,0.367351,0.08035
0.37226,0.095973,0.402923,0.109369,0.426803,0.08176,0.407999,0.062306,0.433058,0.067042,0.603867,0.102174,0.520103,0.129951,0.563838,0.107716,0.2243961697870516,0.039744,0.18341,0.134256
0.504078,0.082606,0.511944,0.151599,0.105046,0.036414,0.751396,0.191012,0.74653,0.217951,0.383351,0.114926,0.455205,0.084206,0.445758,0.080621,0.2243961697870516,0.04093,0.485353,0.28907
0.55965,0.131549,0.487281,0.249451,0.289828,0.069595,0.482088,0.453065,0.475199,0.07675,0.026762,0.01519,0.493041,0.450074,0.385197,0.224588,0.11611155378486056,0.040733,0.498816,0.194267
0.468366,0.06502,0.532913,0.164638,0.334058,0.099356,0.435974,0.077032,0.410745,0.107329,0.464248,0.073258,0.742325,0.191383,0.399274,0.097032,0.11611155378486056,0.043507,0.389181,0.085493
